PC,BUS,CAN,DUTY
0,13,10011,100
0,12,10019,100
0,16,10030,100
0,17,10043,100
0,16,10074,100
0,17,10079,100
0,14,10080,100
0,15,10087,100
0,14,10103,100
0,10,10117,100
0,13,10126,100
0,16,10134,100
0,22,10081,100
0,22,10114,100
1,10,10091,100
1,13,10133,100
1,12,10106,100
1,13,10115,100
1,15,10099,100
1,17,10130,100
1,17,10054,100
1,14,10046,100
1,16,10108,100
1,16,10012,100
1,14,10048,100
1,22,10135,100
1,22,10128,100
2,10,10065,100
2,13,10084,100
2,12,10112,100
2,13,10009,100
2,15,10089,100
2,17,10129,100
2,14,10064,100
2,17,10001,100
2,16,10120,100
2,14,10110,100
2,22,10111,100
2,22,10075,100
3,16,10006,100
3,17,10007,100
3,15,10031,100
3,13,10037,100
3,14,10039,100
3,10,10051,100
3,13,10083,100
3,12,10100,100
3,14,10116,100
3,17,10121,100
3,22,10359,100
3,22,10669,100
4,13,10029,100
4,16,10033,100
4,12,10034,100
4,22,10036,100
4,14,10049,100
4,17,10060,100
4,22,10072,100
4,17,10076,100
4,15,10102,100
4,10,10109,100
4,14,10113,100
4,13,10123,100
5,17,10013,100
5,13,10017,100
5,14,10035,100
5,22,10040,100
5,12,10063,100
5,16,10071,100
5,15,10086,100
5,14,10092,100
5,13,10094,100
5,22,10097,100
5,10,10105,100
5,17,10131,100
6,14,10021,100
6,13,10022,100
6,16,10028,100
6,14,10041,100
6,17,10055,100
6,13,10057,100
6,15,10061,100
6,22,10020,100
6,22,10032,100
6,17,10070,100
6,10,10077,100
6,12,10095,100
7,10,10018,100
7,13,10125,100
7,12,10014,100
7,13,10082,100
7,15,10124,100
7,17,10104,100
7,17,10010,100
7,14,10066,100
7,16,10023,100
7,14,10096,100
7,22,10501,100
7,13,10500,100
8,10,10003,100
8,14,10005,100
8,16,10015,100
8,15,10016,100
8,13,10025,100
8,12,10027,100
8,14,10058,100
8,17,10068,100
8,22,10090,100
8,13,10118,100
8,17,10119,100
8,22,10122,100
9,16,10008,100
9,12,10024,100
9,22,10026,100
9,15,10042,100
9,14,10052,100
9,10,10062,100
9,13,10069,100
9,13,10088,100
9,17,10093,100
9,14,10098,100
9,17,10101,100
9,22,10107,100

